neutral,toxic,neutral_obfuscated_texts,toxic_obfuscated_texts,obfuscated_labels
군대에서 쓰는 총은 다 똑같은 총을 쓰는거야?,"군대에서 쓰는 총은 다양한데, 일부 찌질이들은 k2소총만 들고 다니면서 존나 간지난다고 착각하더라",군 모ㅏVIЮ 쓰는 총은 多 똑같 은 총읇 쓰늕거야?,"굲大ㅏVIЮ 쓰 는 총은 ㅓコ양ㅋ우데, 일부 찌질이들은 k2 소총많 들 고 多니면서 존ㅓㄱ 갆지난다고 착 갘下더라","['8-2', '1-4', '6-1', '10']"
하지만 경쟁하지 않으면 무슨 재미야? 응? 그렇지 않니,경쟁 안하면 인생이 노잼이지.약자는 도태되는 게 당연한 거 아님?,ㅓ우 지만 경하쟁지 얂의면 무슨 재 므야? 읭 ? 그지렇 얂뉘,경쟁 안 ㅓ우면 인이생 노자잼지이.약는 됴태되 늰 게 댱 연환 궈 ㅓㅇ님?,"['11', '6-1', '2-1', '10']"
생각하고 있는데 뭐 먹을지,맛있는 거 쳐먹고 싶은데 지랄맞게 살찌면 개빡치니까 뭐 먹을지 고민되네,生각下高 … ♤ ∏-∏ 있는대 뭐 「먹을찌」,맛있는 커 쳐먹高 ✩ 싶1은데 ✪ˆ ✧ ♡ ♥ 찌랄맞깨 ★ ≥ㅇ≤ 쌀찌면 ✦ ◯게빡치니까◯ 「뭐」 ♥ 먹을지 ♥ ε♥з 《✦》 ◎高1민퇴네◎ ε♥з ●♥●,"['8-2', '1-1', '1-3', '13-2']"
응 이번엔 좀 달라보여 ㅋㅋ,응 이번엔 좀 달라보여~ 한남충들 어그로 오지게 끌겠네 ㅎㅎ,응 윕변앤 쫌 돨뢉뵹여,읭 입번앤 좀 퇄랴뾰여~ 한남충틀 역긜료 오지게 끌갰냉,"['2-1', '2-2', '1-1', '1-3']"
배달은 먹을 수록 질리는데,"배달은 먹을수록 질리는데, 저런 김치년들이 만든 음식은 더 먹기 싫어지네",밷달은 뭑읠 水록 질리는대,"배달은 멱읠水룍 질린는대, 졀뤈 귐췬년딀위 만든 음食恩 더 멱귀 싫얻진내","['1-3', '8-2', '2-2', '2-1']"
응. 강아지한테도 좋을 줄은 몰랐는데,응. 냄져들한테도 좋을 줄은 몰랐는데,응. 강ㅓㅇ지ㅋ우테도 좋을 출른 몰랐는텧,응. 냄져들ㅋ우테도 쫑흘 줄은 몰랐는뗕,"['3-1', '6-1', '2-2', '1-1']"
전자상거래가 보편화 돼서 엄청 편하네 ㅋㅋ,전자상거래가 보편화돼서 무지성 충동구매 좆된다 ㅋㅋ 돈 다 썼네,이커머스가 보편‥화 ˜♥ ◉돼셔◉ ♥ 웜쳥 ε♡з 컴피㉻비° 『ㅋㅋ』,전。㉶상거래㉮ 【◯뵤편화돼숴◯】 ∏-∏ ☆ 무。지성 〃윔．풜쉬븨〃 『바이』¯ ✧ 奀된㈐ ♧ ≥ㅇ≤ ㅋㅋ 됸 ★ ♡ 『욜』 ✩ ✪ ≥ㅂ≤ ♧ 클리어.,"['8-3', '5-1', '2-1', '13-2']"
육아 휴직으로 돌아와서 이상한 곳으로 발령하는 데도 있잖아,육아 휴직하고 돌아오니까 꼰대들이 복수하듯이 개고생하는 부서로 쳐박네,육㉵ 휴직º로 ∏-∏ ★ 돌와아서 ♡ ✦ ≥ㅁ≤ 잇상한 곳。을로 발령한는 데。도 ≥ㅇ≤ 있아잖 ✩。,✩ 육㉵ 휴하직．고 【돌앙온닉까】 꼰들대이 복㐃㉻듯이 ✩ 객곳생한는 붓설。로 ✩ ✪ 『♤』˜ ∏-∏ 쳐박네 ♥,"['5-1', '11', '2-2', '13-2']"
그렇긴 한데 여친 입장에선 편하고 좋지 않을까?!,그렇긴 한데 김치녀 입장에선 호구 잡아서 편하고 좋지 않을까?!,글렇긴한데여친입장에선편㉻ㅍ좋지않흘깏?!,ユ렇긴한데김친녀입장에선혹구잡㈓서편하고좋짙않흘까?!,"['2-3', '5-1', '2-2', '10']"
무서웠는데 이제 잘 탐,무서웠는데 이제 좆 잘탐ㅋㅋ,무서는웠데이재좔탐,뮤셔웠늰데이재좆잘ㅋ탐ㅋ,"['11', '1-3', '2-1', '10']"
솔직히 차 있을 때는 많이 많이 그리고 뚜벅이로 여행할 때는 1박 2일 내내 옷 똑같아 ^^,솔직히 차 있을 때는 개꿀인데 뚜벅이로 여행할 때는 찐따처럼 1박 2일 내내 옷 똑같아 ㅋㅋ,솔hi직 찬 is을 때는 많았g 만았d 그고리 walk로 trip할 때는 1day 2iㄹ 낮내 클로th 똑같 ^^,솔직히 창 이즈을 땐는 개인꿀데 two이벅로 여할행 땒는 찐딷cheol럼 1밖 2입 낺내 ok 똓got아 ㅋㅋ,"['11', '2-2', '1-4', '8-1']"
우리 모두 다이어트에 성공해 대회에 나가봅시다,우리 모두 내장지방 빼서 몸짱 대회에서 김치녀들 박살내봅시다,우리 모두 多二ㅇ┫ㅌ一ㅇㅓㅣ 성공헫 댕횡ㅇ¶ 나가봅시다,우리 母두 넫장집방 빼서 몸짱 뎅휑앳ㅅ亻 김ㅊi女들 박살냅봅싣ㄷŀ,"['1-3', '8-2', '2-2', '5-2']"
우와 거기 가서 몸 키우고 나온다고 안 먹고 닭가슴살만 먹고 있는 거 아니야?,거기 가서 몸 ㄱㅇ고 나온다고 닭가슴살만 처묵하고 있는 거 아냐?살 빼려고 하루종일 닭가슴살 씹어대는 거 실화냐ㅋㅋ,유ㅘ 궈귀 ㅓㄴ서 ㅓA디 메이크 하고 ㅓㄱ온ㅓコ고 완 먹꼬 치킴브레스트만 먹꼬 윈닌 거 야뉘야?,겨귀 ㅓㄴ서 바디메이킹아고 ㅓㄱ온ㅓコ고 취큄비레시티뫈 처놈ㅓ우고 인는 거 ㅓㅇ냐? 샬 빼려고 올데이 취큄비레시티 씸는 궈 뤼워뤼야?ㅋㅋ,"['8-3', '6-1', '2-1', '1-5']"
"30분이 뭐야, 한 시간이었을걸?","30분이 뭐야, 한시간 존맞이었을걸?","30분닣 왓이야, 한 시간二었을걸?","30분닞 뭐야, 한타임 존맞二었을걸?","['2-2', '2-3', '8-3', '8-2']"
그래도 여행 너무 부럽다 ㅠㅠ,진짜 개부럽다 ㅠㅠ나는 찌질이처럼 집구석에서 썩어가는데 남들은 다 여행가네,그도래 여앵 녀뮤 쀼렵똬,췬쫘 깨뿌럽따 ㅠ나ㅠ는 찌처질이럼 직꾸서게서 쎠겨과닌데 놤디린 다 여행까네,"['2-1', '11', '1-5', '1-1']"
네 그래서 더 슬퍼요,이런 개같은 현실에 눈물이 찔끔 나오네..,비 그래서 덕 슬퍼요,이런 객까슨 현시레 눈뭁이 찔끔 낭온비..,"['2-2', '1-4', '5-1', '1-5']"
그냥 내 피부 관리를 하고 싶어,그냥 내 피부 관리를 하고 싶은데 주변에서 된장녀라고 손가락질하네,저스트 just 내 skin 꽌리를 관리 하꼬 want해 시퍼,그냥 my skin 매니지먼트를 하고 싶은데 쭈뼈네써 된장녀라고 finger pointing하네,"['3-1', '1-1', '8-3', '8-1']"
북한이 뭐만하면 오르던데 쟤네는,북괴가 뭐만 하면 주가 급등하던데 저 빨갱이들은,부카니 뭐맍하멵 오르던대 쟨넨는,북괴가 뭐만 함면 죽가 급뜽아던대 저 빯갱이듫읁,"['1-3', '1-4', '1-5', '2-2']"
어느 정도는 있을 수도 있는데 약간 플라시보일 수도 있지 않을까 ㅋㅋ,어느 정도는 있을 수도 있는데 솔직히 멍청이들이나 믿는 개소리 아닌가 싶음 ㅋㅋ,ㅏO느 정는돈 이쓸 숟도 인뎅는 약깐 플ㅓㄹ시보일 수도 읻찔 않을까 ㅋㅋ,ㅏO느 정는돈 이쓸 숟또 인는덷 솔킵지 멍청이들이ㅓㄱ 믿는 개ㅏ>ㅣㄹ 아가닌 싶음 ㅋㅋ,"['6-1', '2-2', '1-5', '11']"
응 ㅋㅋ 난 정당한 이유로만 뭐라고 했어,응 쓰레기들아 난 정당한 이유로만 너희 욕했다고,읭 ㅋㅋ 낝 줭돵얀 이로유만 뭐라고 해써,읭 쓰레기듧아 낞 정당안 이로유만 녀이 욕했다고,"['1-4', '2-1', '11', '1-5']"
그러게 말이야 어릴때부터 돈을 쫓아야했는데 늦어서 할려니 피곤하네,그러게 말이야 어릴 때부터 돈을 쫓아야했는데 늦어서 할려니 피곤하네... 이 씨발 자본주의 사회,유러게 why야 여륄때뷰퉈 gㅏΠ을 쭃야야했늰데 late서 할려ny 피곤 max비,ユ러게 뫌위야 ㅏㅇ릴 te뷰텨 gan을 chase해야했는데 닂여셔 하려고니 khi곤ㅓ우네... 위 쒸봘 ㉶본uº¹ 仆회,"['6-1', '5-1', '2-1', '8-1']"
우리집 셰퍼드 막 커서,우리집 개놈 막 크더니 집구석 쑥대밭으로 만들어놨네,우리짒 셰듸펴 고잉업,유뤼쥡 됴긔 맋 크니더 짎구섥 쑥으대밪로 메위킈 했네,"['8-3', '1-4', '2-1', '11']"
일단 아는 거부터 집는다고 ㅋㅋ,일단 아는 거부터 집는다고 ㅋㅋ해라 개머장들아,一단 안uㄴ go터부 짒nㄱ다고 ㅋㅋ,읿닩 아늖 gㅓ부터 집는다카오 ㅋㅋ해라 개들장mㅓ아,"['11', '8-2', '1-4', '8-1']"
영화도 이제 K-영화가 대세구나.,영화도 이제 국뽕영화가 판치는구나.,영화도 이제 K비무-가 머세규놔.,무비도 이제 弓뽕영화㉮ 퍈늰규놔취.,"['2-1', '5-1', '8-3', '11']"
그래서 여러 개 사면 엄청 비싸더라고 ㅠ,그래서 여러 개 사면 존X 비싸더라고 ㅠ,긔레숴여러개사면염췅뜨싸더ㅓㄹ고ㅠ,긔래숴여러게ㅓV면존X뷔쌰둬랴교ㅠ,"['6-1', '2-1', '1-3', '10']"
내 주변에 남자인 애가 없는 게 문제야.,내 주변에 찐따 급 노잼 남자들밖에 없는 게 문제야.,내 쥬에변 낢차읺 애가 옆늰 케 문제야.,내 추에뼍 찐따 끒 노잼 냠뱍딇쟈에 엾늰 께 뮨제야.,"['1-4', '1-1', '2-1', '11']"
세상의 소식을 바로바로 들을 수 있으니 외로움과 고립감은 느껴지지 않겠네요.,세상 소식은 실시간으로 들어도 현실은 쓰레기같고 고립감은 여전히 찌릿하네요.,세상의 쏘씩클 봐료뱌료 띌릘 쑤 있으니 외로움파 ㅍ립감은 늬껴쮜취 얂겠네요.,쎄썅 소식은 실시간º로 들러도 현쉴릔 씌레퀴꺝꾜 ㅍ립감은 여쩐히 찌릿하네요.,"['5-1', '2-3', '2-1', '1-1']"
아 할 뻔했는데 무산된건가?,아 X될 뻔했는데 무산된건가?,와 할 뻔했는데 뭇싼뙌컨까?,아 X퇼 뻔했는덻 뮤솬됀권과?,"['1-1', '2-1', '2-2', '1-3']"
돈도 엄청 많이 들거야,돈도 ㅈㄴ 많이 긁어먹겠네,돈도 엄청 만니 인 할야거,돈돎 ㅈㄴ 마니 스래크치 이팅 하겠네,"['3-1', '8-3', '2-2', '11']"
그래서 모이면 계속 갔던 곳 얘기하잖아,그래서 모이면 계속 갔던 곳 얘기하는 한남충들 꼴 보기 싫음ㅋㅋ,ㅅ山ㄷ¶ 모이면 계속 웬던트 곻 ㅇĦㄱıㅎł잕ㅇビ,ㅅ丄 ㄹㅓㅣㄷㅓㅣ ㄱ¶ㄷj ㅁ凸ㅇ┃면 계속 같덚 곹 얘하기는 핞충낢듧 꼻 ㅂ丌잉 ㄴ凸땡ㅋ丌刁㉪,"['1-4', '8-3', '5-2', '11']"
회사 넘 아깝넹 하하,회사 개 열정페이만 좋아하는 쓰레기 집단이네 하하,회仆 넘 약꺕넹 下下,회사 개 열졍페위먄 죻양햔늰 쓸렉기 집단二비 하하,"['2-1', '8-2', '5-1', '2-2']"
"아, 나도 그런 편이야!","아, 나도 틀딱처럼 꼰대같은 편이야!","야, ㉯도 크런 편니야!","㉵, 놔뚀 틀딱처럼 꼰태캍은 편뉘야!","['2-1', '5-1', '1-1', '2-3']"
아 너무 많이 오면 신발 사망...,아 너무 많이 오면 신발 개박살나겠네...,앋 넘무 먆읶 오면 심발 샤먕...,아 눠뮤 마닣 욤면 심발 개박살止겠비...,"['2-1', '2-2', '5-1', '1-5']"
난 이름은 기억 안 나는데 색깔 맞추기였어 ㅋㅋ,난 이름은 기억 안 나는데 색깔 맞추기였어 ㅋㅋ 씨발년아,놙 이은름 끼억 얁 나늖데 쌕꽐 맞기였추어,낝 위릠읜 끼얶 안 놔늰테 쌖꺑 맞기추였어 ㅋㅋ 씨년발아,"['11', '1-1', '2-1', '1-4']"
일을 하면서 급여가 밀린 적 있었어?,일하면서 월급 못받고 노예처럼 부려먹히는 회사 많지 않냐?,이를 하면써 크 벼까 밀 린 적 있어었?,일면하서 월 끕 못고받 노예처럼 뿌리어머키 는 회 싸 만치 안냐?,"['11', '1-1', '1-5', '10']"
와 누나 진짜 뭘 좀 아네 하하,와 김치녀 진짜 뭘 좀 아네 하하,와 누words 찐짜 what 좀 ㉵B 하하,와 낌chi녀 리얼리 뭘 촘 fu비 eouou,"['5-1', '1-1', '6-1', '8-1']"
거기 강아지 카페도 붙어 있더라,거기 개돼지들 모여서 시끄럽게 짖어대는 곳도 붙어 있더라,데스네 쾅와취 카페도 퓬녀 이썩꾸나 데스네,데스코 도그피그들 묘여쒀 씨끄럽케 쥐줘대닌 콛또 스테이 클로즈 윋뗘랴,"['1-1', '2-1', '8-3', '1-5']"
빨리 게임하고 싶다. 기대돼.,존나 빨리 겜 하고 싶다. 개기대된다 ㅋㅋㅋ,뺠뤼 갱임학고 싶다. 기돼대.,존낤 뽤뤼 갬 하고 싶.다 객귇댇된돠 ㅋㅋㅋ,"['11', '2-2', '1-3', '2-1']"
이젠 닌텐도가 있으니 다마고찌는 유치원생정도의 게임아닐까?,이젠 닌텐도가 있으니 다마고찌는 찐따들이나 하는 멍청이 게임 아닐까?,이젠 닌텐또ㅓ匕 있은니 담막곧찐는 유치원생정도의 캐임아닐까?,이첸 닌탠도가 있은니 따ㅓㅁ꼬찌는 찐따틀이나 한는 멍청이 갱임 ㅓㅇ닐까?,"['1-1', '1-3', '6-1', '2-2']"
결혼하면 육아 때문에 다른 생각 안들 것 같애,결혼하면 맘충 되어서 애새끼 키우느라 인생 끝날 것 같애,결횬下면 六ㅓㅇ 때뮨에 ㅓコ른 띵킹 아이 캔트 히어 겻 세임 같애,결횬화면 맘충 마마추- 되ㅏㅇ서 愛새뀌 키우느ㅓㄹ 人生 엔드날 것 세윔위야,"['8-2', '6-1', '8-3', '2-1']"
제대로 아는 게 없지만 인스타에서 많이 보이길래,제대로 아는 게 없지만 인붕이들이 인스타에서 멍청한 짓거리 하는 거 많이 보이길래,제대로 아는 개 없찌만 인스㉹에서 많二 포이낄래,채테로 ㈕는 께 없지만 인뿡이틀이 人스㉹애서 멍청한 찟커리 ㈛는 거 많二 보二길레,"['8-2', '1-3', '5-1', '1-1']"
맞아 든든하지만 헤비하진 않은 메뉴,맞아 든든하지만 찐따들이 좋아할 만한 가벼운 메뉴,맡아튼뜬下찌만헤삐하친안은메뉴,맟아든든하지만찐따뜰二좋아할많핞까뼈운메뉴,"['8-2', '1-4', '1-1', '10']"
맞아 ㅋㅋ 거기에 고군분투라는 게임 알아?,맞아 ㅋㅋ 거기에 개고생한다는 겜 알아? 노잼이라 욕먹던데,맞아  커끼에 고군분투ㅓㄹ는 게임 알?라,맞아  커키에 개고다한생는 껨 알ㅓㄹ? 노잼므ㅓㄹ 욕던먹데,"['2-3', '11', '6-1', '1-1']"
나는 전기차가 끌리던데 요새 하하,나는 전기차가 끌리던데 요새 김치남들은 돈이 없어서 못사나 봐 ㅋㅋ,냔늰 일렉트릭카가 끨륃뎐데 리샌틀리 하하,놘늰 일랙트릭카가 끨륃둰대 요새 김침맨들은 됸윈 노아리마스 묫솨냐 룩 ㅋㅋ,"['2-1', '8-3', '1-3', '2-2']"
응 요즘 능률이 안오르네,응 요즘 능률이 똥망이네..,응 요즘 능뉴링 안 lㅓ오네,응 요즘 능new립 poop. 네임ang.,"['11', '2-2', '1-5', '8-1']"
이기적인 사람들이 잘 사는 것 같지만 최상위 1%는 도덕적이래,돈 많은 개쓰레기들이 잘 사는 거 같지만 상위 1%는 청렴하다네,위줙귀윈사람들이쟐㈔는것같지만최상읶1%늰도적덕이래,됸먆읜개기들레쓰이쟐㉴는거걑쥐먄상읶1%는청렴다하네,"['2-1', '5-1', '11', '10']"
2박3일 대단한데 게임머니 다 잃었어,2박3일 개노답이네 게임머니 다 털렸잖아 ㅋㅋ,2박3일 대다난데 케임머니 올스로,23박일 개노다비네 께임머니 올갇 털렸쟈나,"['8-3', '11', '1-5', '1-1']"
그니깐 우리 전쟁 리스크 털어버려야지,그니깐 우리 전쟁 리스크 털어버리고 김치년들이나 때려잡아야지,ユ니깐 우리 워 리크스 클리어 헤야지,소 데스네 우리 워전젱 리스크 털어버리고 김들이치년나 때려잡㉵야지,"['5-1', '11', '8-3', '1-3']"
일단 너무 올리면 재미없잖아~ 100까지 올리고 셀까지만 클리어해봐^^,일단 너무 올리면 노잼이잖아~ 100까지 올리고 셀까지만 깨보셈 ㅉㅉ 초보자 냄새 나네,일단 너무 욜뤼 면 제미없잖㈕~ 100꽈 쥐 올리 ㅍ 샐까지만 킐뤼워해봐^^,윌돤너무올리면노젬이잖㉵~100꽈쥐올리고샐꽈쥐뫈께뵤샘ㅉㅉ초보㉶냄새㈏비,"['1-3', '5-1', '2-1', '10']"
그러네 기사 제목이랑 내용이랑 안 맞네,기레기들 또 낚시질이네.제목은 뻥튀기하고 내용은 쓰레기 수준이야.,그러네 끼싸 체모끼랑 냉일용랑 안 맞넴,끼레키뜰 똘 낚싣질인네.젬목은 뻥튀기하고 내요은 쓰레기 쑤야이쭌.,"['2-2', '3-1', '1-1', '11']"
ㅋㅋ 엄마랑 둘이 푸근하게 잘 자겠네,ㅋㅋ 엄마랑 둘이 냄져들 없이 푸근하게 잘 자겠네 ㅋㅋ,엄마랑 dwㄹ위 fukin햐께 well 먹겠비,ㅋㅋ 엄ma랑 tool이 남ther들 웞읶 퓨kin화케 잘 챠껬비 laugh laugh,"['2-1', '1-1', '5-1', '8-1']"
소주 한잔 진하게 하자구,소주 한잔 하면서 쓰레기같은 인생 달래볼까,ㅏ>주 환좐 진하개 下子九,쇼쥬 ㅓ교ㅋ우 하면서 쓰레기같은 人生 댤레뵬꺄,"['1-3', '2-1', '6-1', '8-2']"
ㅋㅋ 월요일 ㅠㅠ 출근 아니가,ㅋㅋ 월요일 ㅠㅠ 개노잼 출근 ㄱㄱ 노예들아,ㅋㅋ 월룡잃 ㅠㅠ 춟귽 안닉㈎,ㅋㅋ 월룡잀 ㅠㅠ 개노잼 출근 ㄱㄱ 농옏듨㉵,"['3-1', '1-4', '2-2', '5-1']"
응 그랬었지 점수 잘 나왔어,응 그랬었지 점수 개같이 나왔어 ㅋㅋ,응 ∥✦∥ 크었랬치 점수 찰 ★ ♤ ㅓㄱ왔ㅏO ★ 『♥』,응 ♧ ✦ 그？었랬지 ∥첨1쑤∥ 캐캍이 ✪ ♧ ㅓㄱ。왔Ю ★ 『ㅋㅋ』,"['6-1', '1-1', '11', '13-2']"
근데 저녁에는 너무 춥던데,근데 저녁에는 썅 추워서 개털날 뻔했네,근데 저게녁는 념뮤 춥던데,긘데 전녁겐는 썅 충웟서 개퉐냘 뻔네했,"['2-3', '11', '2-2', '2-1']"
뭐 스케줄이 안 맞아서 그랬겠지?,저 찐따들은 스케줄 맞추기도 힘든가 보네.,뭓 스줇케이 안 맏앗서 ユ랬겠지?,저 찒듩딷읂 스케줄 맛축긷도 힘든가 보비.,"['1-4', '2-2', '5-1', '11']"
어떤 기술인지 정말 궁금하다.,"어떤 기술인지 정말 궁금한데, 깜냥이 딸리는 한남충들은 이해 못할 듯",얻떤 gㅣ수린지 rㅓally guㅁㅓuㅓコ.,"엇떤 gㅣt쑤린지 really 궁금한데, 깜냥임 tails는 쿠우남충들은 잉애 mortal 듯","['6-1', '2-2', '1-5', '8-1']"
ㅋㅋ 옷도 사고 아니 어디다 쓴지 모르겠어...,쌍년 옷도 사고 아니 어디다 쓸지 모르겠네... 지잡대생 같은 거,ㅋㅋ 옷도 샀ㅍ 아돈이노 어디다 쓴지 모르갰어...,쌍년 옷도 쇼핑㉻ㅍ ㈕니 왜어투 유즈 모.르네겠.. 지데잡셍 같은 거,"['8-3', '1-3', '11', '5-1']"
이렇게 철저하게 운영되니 신기하네요,이렇게 깡패같이 운영되니 신기하네요ㅋㅋ,이렃게 철ㅈ┫下ㄱ¶ 운영되니 신기㉻비요,이렇게 ㄲ5ㅇㅍħ같二 욵영되니 신기㉻비요ㅋㅋ,"['5-1', '1-4', '8-2', '5-2']"
친구들도 다 그럼 게임 하는 거야?,친구들도 다 그럼 겜 폐인처럼 시간 낭비하는 거냐?,칭쿠틀토 댜 키뤔 게임 하늖 거야?,칭꾸들또 다 기렴 겜 폐윊쳐뤎 씨칸 냥쀠와닌 꺼냐?,"['1-4', '2-1', '1-1', '1-5']"
맞아 처벌이 당연히 있어야지!,진짜 쌔끼들은 다 콩밥 먹여야 정신 차리지.,예쓰 맞아 처펄二 당연힉 있어야지!,친짜 버스터즈들은 땀 빈밥 먹女약 정신 차리지.,"['8-2', '1-1', '2-2', '8-3']"
전에는 굼벵이가 그렇게 이쁘다고 그것도 키웠잖아요 그건 어쨌어요?,전에는 쓰레기벌레가 그렇게 이쁘다고 그것도 키웠잖아요 그건 어떻게 됐어요?,저내는 굼벵이가 그러케 二쁘多高 그걷刀 키웠짜나요 raise 헸자나요 댓은 왓 해픈드?,비포애는 쓰레기벌레家 그렇게 프리티라고 그걷刀 키웓짜나요 그건 하우 하개 돼써요?,"['8-2', '8-3', '1-5', '1-3']"
배민은 아는데 라이더는 뭐야?,배민충들은 아는데 라이더충들은 뭐야?,배민恩 ㅓㅇ는데 라이터는 뭐?야,빼민틀충은 ㅓㅇ는데 라二더충들恩 뭐야?,"['6-1', '1-1', '8-2', '11']"
완전 오징어 게임 배우분들 요즘 핫하심 하하,오징어 게임 배우들 요즘 인기 많아서 김치녀들이 환장하나 봐 ㅋㅋ,완전 오징어 께임 엑타뜰 요즘 핫ㅓ우심 하하,오징어 깨임 엑터츠 요츰 인ㅣㄴㅓㄴ 많ㅓㅇ서 김치녀들이 환짱하나 봐 ㅋㅋ,"['8-3', '1-3', '6-1', '1-1']"
나중에 결혼하면 자녀 계획은? ㅋㅋ,나중에 결혼하면 애 낳아서 맘충 되고 싶진 않아요.,나에중 겨료냐면 쟈녀 게왹恩? ㅋㅋ,나에중 결하혼면 愛 놔야셔 먐츙 되高 쉽쮠 아나요.,"['11', '8-2', '2-1', '1-5']"
오징어 게임 코인 들어봤니?,오징어 게임 코인?그런 쓰레기 같은 거 믿는 놈들은 다 호구지.,오지어 「겡임‥」 ◈코인◈ ♤ 들니봤어?…、,옫징어 ★ 겡임 ✩ 코그?인런 ★ ¨쓰．기레 ✩ 갇튼 【겈】 믿는 놈드른 다 ∥♡!∥ 호구지. ≥ㅇ≤,"['11', '3-1', '2-2', '13-2']"
사람은 금방 적응 하더라고요,쓰레기들은 역시 빨리 적응하더라고요.,사라믄 금방 적긍 하터코라요,쓰드기레른 역시 빨리 척킁하떠라꼬요.,"['1-5', '2-3', '1-1', '11']"
ㅋㅋ 본가라서 힘들지 않나?,ㅋㅋ 애비애미 집이라 멘탈 갈려서 빡치지 않나?,ㅋㅋ 봉㈎㈑서 힘들지 않ㄴとㄴ?,ㅋㅋ 애비애미 지비㉱ 멘탈 갈려서 빡칟ㅈl ㅇとㄴ낚?,"['1-5', '5-1', '2-2', '5-2']"
