neutral,toxic,neutral_obfuscated_texts,toxic_obfuscated_texts,obfuscated_labels
육아 휴직으로 돌아와서 이상한 곳으로 발령하는 데도 있잖아,육아 휴직하고 돌아오니까 꼰대들이 복수하듯이 개고생하는 부서로 쳐박네,윩아휴직으로리턴해서이상핝플레이스로발령하는데도잇잕아,윣아 휴짂하 고 리 턴오니까 꼰대들이 리벤지하듯이 개 고생하는 부서로 쳐밖네,"['8-3', '1-4', '10']"
그렇긴 한데 여친 입장에선 편하고 좋지 않을까?!,그렇긴 한데 김치녀 입장에선 호구 잡아서 편하고 좋지 않을까?!,끄러킨 한데 여친 入長에선 편하코 조치 않을까?!,그러킨 한데 킴치女 입짱에썬 호꾸 잡아서 편下高 조치 아늘까?!,"['1-5', '8-2', '1-1']"
무서웠는데 이제 잘 탐,무서웠는데 이제 좆 잘탐ㅋㅋ,무서는웠데 이제 찵 탐,무웠는서데 이쩨 좆 잘탊ㅋㅋ,"['11', '1-4', '1-1']"
솔직히 차 있을 때는 많이 많이 그리고 뚜벅이로 여행할 때는 1박 2일 내내 옷 똑같아 ^^,솔직히 차 있을 때는 개꿀인데 뚜벅이로 여행할 때는 찐따처럼 1박 2일 내내 옷 똑같아 ㅋㅋ,솔히직 차 있을 떼는 많二 많二 그고리 뚜이벅로 女헹할 떼는 1박 2一 네네 옷 똑아같 ^^,솔직히 차 있을 떼는 개꿀人데 뚜이벅로 女헹할 떼는 찐처따럼 1박 2一 내내 옷 똑아같 ㅋㅋ,"['11', '8-2', '1-3']"
우리 모두 다이어트에 성공해 대회에 나가봅시다,우리 모두 내장지방 빼서 몸짱 대회에서 김치녀들 박살내봅시다,우리 모두 多二여틔에 쎵꾱해 태회에 나가봅시다,右리 묘뜌 내촹취퐝 빼서 몸짱 대회에서 귐취女딀 빡쌀내폽씨따,"['1-1', '8-2', '2-1']"
우와 거기 가서 몸 키우고 나온다고 안 먹고 닭가슴살만 먹고 있는 거 아니야?,거기 가서 몸 ㄱㅇ고 나온다고 닭가슴살만 처묵하고 있는 거 아냐?살 빼려고 하루종일 닭가슴살 씹어대는 거 실화냐ㅋㅋ,우 와 걲 기 같 서 몸 키우고 나 옪다고 안 먺곬 닭가슴살만 먹곡 잇 는 거 안닝야?,걱기갛서몸ㄱㅇ고낭온닥고닭가슴살만처뭌하고있는거안냐?살뺄력고하루종읿닼가슴삹씹어대는걷싧화냐ㅋㅋ,"['2-2', '1-4', '10']"
"30분이 뭐야, 한 시간이었을걸?","30분이 뭐야, 한시간 존맞이었을걸?","30분니 뭥야, 환 시간이었을걸?","30뷴뉘 뭥야, 한시간 존맞이었을걸?","['2-3', '2-1', '2-2']"
그래도 여행 너무 부럽다 ㅠㅠ,진짜 개부럽다 ㅠㅠ나는 찌질이처럼 집구석에서 썩어가는데 남들은 다 여행가네,ｶㅢㄹH됴 女행 ㄴ丬ㅁ丌 부럽다 ㅠㅠ,쥔쫘 ㄱĦㅂ丌렵돠 ㅠㅠ나는 ㅉ丨질二ㅊ†럼 집口石에서 썩어가는데 남들은 ㄷk 여행가네,"['2-1', '8-2', '5-2']"
네 그래서 더 슬퍼요,이런 개같은 현실에 눈물이 찔끔 나오네..,のㅖㅅ一 끄래써 더 슬퍼요,이런 캐캍은 현씰에 ㅌ┃ㅇ亻ㅅ一ㄱł ㄹ┃틀빗 찔끔 나오네..,"['1-1', '8-3', '5-2']"
그냥 내 피부 관리를 하고 싶어,그냥 내 피부 관리를 하고 싶은데 주변에서 된장녀라고 손가락질하네,긔냥 내 피뿌 꽐뤼릴 하고 시퍼,끄냥 내 퓌퓨 괄리를 하코 쉬핀데 주변에서 된쟝녀랴교 송가락찌라네,"['2-1', '1-1', '1-5']"
북한이 뭐만하면 오르던데 쟤네는,북괴가 뭐만 하면 주가 급등하던데 저 빨갱이들은,북한잎 뭐만㈛면 오르던데 쨰네는,푹꾁까 뭐만 ㉻면 추까 급등하던데 절 빨갱이들은,"['5-1', '2-2', '1-1']"
어느 정도는 있을 수도 있는데 약간 플라시보일 수도 있지 않을까 ㅋㅋ,어느 정도는 있을 수도 있는데 솔직히 멍청이들이나 믿는 개소리 아닌가 싶음 ㅋㅋ,언느 정돈는 이쓸 숟도 있는데 약간 플ㅓㄹ시보일 숟도 있지 ㅓㅇ늘까 ㅋㅋ,ㅏㅇ느 정돈는 이쓸 수도 있는뎊 솔직힡 멍처이ㅣПㅣㄹㅓㄱ 믿는 개ㅏ>ㅣㄹ 안닌가 시픔 ㅋㅋ,"['3-1', '6-1', '2-2']"
응 ㅋㅋ 난 정당한 이유로만 뭐라고 했어,응 쓰레기들아 난 정당한 이유로만 너희 욕했다고,응 ㅋㅋ 낝 저스트리즍으로맍 뭐라高 했어,응 트래쉬들아 난 저스티파二드 리즍으로만 너희 욖핻다고,"['8-3', '8-2', '1-4']"
그러게 말이야 어릴때부터 돈을 쫓아야했는데 늦어서 할려니 피곤하네,그러게 말이야 어릴 때부터 돈을 쫓아야했는데 늦어서 할려니 피곤하네... 이 씨발 자본주의 사회,긔려게 말이야 워륄떼쀼퉈 돈을 쭃야야했늰데 늦어써 할려니 피꼰하내,끠뤄캐 말이야 어릴 때부터 돈을 쫓아야헸는때 닂워쎠 활려뉘 퓌꾠화네... 이 쒸뱔 차폰추의 사훼,"['1-3', '1-1', '2-1']"
우리집 셰퍼드 막 커서,우리집 개놈 막 크더니 집구석 쑥대밭으로 만들어놨네,右리집 쎼풔띄 막 커서,右리집 캐놈 뫅 킈퉈뉘 집구석 쑥대밭으로 만들어놨네,"['1-1', '8-2', '2-1']"
일단 아는 거부터 집는다고 ㅋㅋ,일단 아는 거부터 집는다고 ㅋㅋ해라 개머장들아,일탄 아는 거터부 집는多高,일단 아는 거부터 칩타는꼬 ㅋㅋ海라 캐머창뜰아,"['8-2', '1-1', '11']"
영화도 이제 K-영화가 대세구나.,영화도 이제 국뽕영화가 판치는구나.,무비도 이제 K-영화㉮ 모세亡ㅓㄱ.,무비도 이제 JㅓJ뽕영화ㅓㄴ 관치는구㈏.,"['6-1', '5-1', '8-3']"
그래서 여러 개 사면 엄청 비싸더라고 ㅠ,그래서 여러 개 사면 존X 비싸더라고 ㅠ,그래서 여러 게 샤멶 엶쳥 비싸더라고 ㅠ,그래서 여러 게 솨멵 죦X 비싸더라고 ㅠ,"['1-4', '1-3', '2-1']"
내 주변에 남자인 애가 없는 게 문제야.,내 주변에 찐따 급 노잼 남자들밖에 없는 게 문제야.,◯내◯ 〃주변에〃 남장인 앣¿가 ☆˙ ♧ 엂늕 ∥✦∥ 게 ✦ T^T 문제야. ☆,✦ 『내』 ◈☆◈ ◉♡◉ ✦ ´줊볂에 찐¿딽 ♥ ≥ㅂ≤ 【¿긊】 노잼 【✧】 ∥남자들밖에∥ ◈엎늖◈ 게 ◉★◉ ≥ㅁ≤ 문젱야. ≥ㅂ≤ ✦ ♧,"['2-2', '1-4', '13-2']"
세상의 소식을 바로바로 들을 수 있으니 외로움과 고립감은 느껴지지 않겠네요.,세상 소식은 실시간으로 들어도 현실은 쓰레기같고 고립감은 여전히 찌릿하네요.,세에상 소시글 바로 나우나우 리슨을 수 있으니까라 외로웅과 아이솔레이션은 느지껴지 앙켄네요.,월드 세상 뉴스는 실시간으로 들어도 리얼리티 는 쓰레기각꼬 고감립은 여저니 찌타리요네.,"['1-5', '11', '8-3']"
아 할 뻔했는데 무산된건가?,아 X될 뻔했는데 무산된건가?,ㅓㅇ 할 뻔했 는데 무산됀건가?,아 X될 뻔 헸는대 무산된건ㅓㄴ?,"['6-1', '1-3', '10']"
돈도 엄청 많이 들거야,돈도 ㅈㄴ 많이 긁어먹겠네,똔또 얾 청 많이 들거야,톥토 ㅈㄴ 많이 긁어 먹겠네,"['1-4', '1-1', '10']"
그래서 모이면 계속 갔던 곳 얘기하잖아,그래서 모이면 계속 갔던 곳 얘기하는 한남충들 꼴 보기 싫음ㅋㅋ,그래서 meet하면 켸쑉 꺘퉌 place 얘기하jㅏ나,긔래숴 모이면 gㅔ쇽 깠떤 place 얘기하는 햔놤충들을 꾤 포키 hate함ㅋㅋ,"['2-1', '1-1', '8-1']"
회사 넘 아깝넹 하하,회사 개 열정페이만 좋아하는 쓰레기 집단이네 하하,compa니 넘 akㅏb냉 하아,회사 k 열jeong pay만 good하는 trash 집따니네 haha,"['1-3', '1-5', '8-1']"
"아, 나도 그런 편이야!","아, 나도 틀딱처럼 꼰대같은 편이야!","아, ㅓㄱ도 그런 펴니야!","ㅓㅇ, 나도 틀딱처럼 꼲대갔읂 펴니야!","['1-4', '6-1', '1-5']"
아 너무 많이 오면 신발 사망...,아 너무 많이 오면 신발 개박살나겠네...,아 너무 많이 ☆ ∥오면∥ ♤ 슈즈 ε♥з ㅓV망...,아 ♥ ✩ 너무° ●♧● 많으면 ✧ ◉슈즈◉ 개J뚜살ㅓㄱ겠네... ♧1¿,"['8-3', '6-1', '13-2']"
난 이름은 기억 안 나는데 색깔 맞추기였어 ㅋㅋ,난 이름은 기억 안 나는데 색깔 맞추기였어 ㅋㅋ 씨발년아,난 ☆ ◈이름읁◈ 【♥】 ☆ ㅣㄴ‥엌 〃안〃 ✦ ≥ㅇ≤ ㅓㄱ는데 ≥ㅅ≤ 색깔 「…♧」 ✧ ◈맛추기엿어◈ ㅋ1ㅋ,난 `이름은 I¿ㄴ얷 ε♥з 안 나는¿데 【색깔】 맣추Iㄴ엳Ю ㅋ…ㅋ ✧ ♧ 씨밠녆아,"['1-4', '6-1', '13-2']"
일을 하면서 급여가 밀린 적 있었어?,일하면서 월급 못받고 노예처럼 부려먹히는 회사 많지 않냐?,일을하면써급가여밀린척있었어?,일하면써월급못빧꼬노처예럼푸려먹히는회사많지않?냐,"['1-1', '11', '10']"
와 누나 진짜 뭘 좀 아네 하하,와 김치녀 진짜 뭘 좀 아네 하하,와 뉸냐 찐짜 뭘 쬼 아네 항하,왑 뀜췬녀 찐짜 뭘 죰 아네 하하,"['2-2', '1-1', '2-1']"
거기 강아지 카페도 붙어 있더라,거기 개돼지들 모여서 시끄럽게 짖어대는 곳도 붙어 있더라,커끼 강㉵지 카페도 이또 스테이 투게더 있떠라,데스네 깨뙈찌뜰 게더해서 씨끄럽케 짖어머는 콧토 스테이붙어 있더㈑,"['5-1', '8-3', '1-1']"
빨리 게임하고 싶다. 기대돼.,존나 빨리 겜 하고 싶다. 개기대된다 ㅋㅋㅋ,빨리 게윔화교 십다. 기大돼.,죤냐 빯리 겜 하고 쉾댜. 개기大된多 ㅋㅋㅋ,"['2-1', '1-4', '8-2']"
이젠 닌텐도가 있으니 다마고찌는 유치원생정도의 게임아닐까?,이젠 닌텐도가 있으니 다마고찌는 찐따들이나 하는 멍청이 게임 아닐까?,二젠 닌텐토카 있으니 타마꼬찌는 유치원생grade의 game 아닌가?,이쩬 nintendo까 있으니 타마코찌는 찐따들쓰나 down는 멍청이 gㅔ임 아닐까?,"['1-1', '8-2', '8-1']"
결혼하면 육아 때문에 다른 생각 안들 것 같애,결혼하면 맘충 되어서 애새끼 키우느라 인생 끝날 것 같애,결혼㈛면 육㉵ 때무네 다른 셍각 안들 걷 가테,겨로나면 呫충 되어서 에세끼 키우느㈑ 인쎙 끈날 것 같애,"['5-1', '1-5', '1-3']"
제대로 아는 게 없지만 인스타에서 많이 보이길래,제대로 아는 게 없지만 인붕이들이 인스타에서 멍청한 짓거리 하는 거 많이 보이길래,제대로 ㅓㅇ는 게 엂지많 인스타에서 만이 보二길래,제모로 ㅓㅇ는 게 엂지만 人붕二듧二 人스ㅓ∃ㅏVIЮ 멍청한 짓거리 下늕 거 맍이 보이길래,"['8-2', '1-4', '6-1']"
맞아 든든하지만 헤비하진 않은 메뉴,맞아 든든하지만 찐따들이 좋아할 만한 가벼운 메뉴,맞앟 든든핟짐만 헤비하짅 안恩 메뉴,맞아 듢듢하지맍 찐딷들이 좄아핤 만한 家벼운 멘뉴,"['2-2', '8-2', '1-4']"
맞아 ㅋㅋ 거기에 고군분투라는 게임 알아?,맞아 ㅋㅋ 거기에 개고생한다는 겜 알아? 노잼이라 욕먹던데,먖와 ㅋㅋ 데어 go군분tㅜ라는 게임 know?,맞아 kㅋ 궈귀에 gㅐ교생환댜는 게임 알아? 노잼meister라 욕먹don데,"['2-3', '2-1', '8-1']"
나는 전기차가 끌리던데 요새 하하,나는 전기차가 끌리던데 요새 김치남들은 돈이 없어서 못사나 봐 ㅋㅋ,㉯는 일렉틀릭칵가 끌리던데 요새 항하,㉯는 일렉틀릭칵가 끌리던데 욧새 김치남들은 먼닉가 없어서 못산止 봐 ㅋㅋ,"['8-3', '2-2', '5-1']"
응 요즘 능률이 안오르네,응 요즘 능률이 똥망이네..,응 요쯤 능률二 안오르비,응 요츰 능률이 똥망二비..,"['8-2', '1-1', '5-1']"
이기적인 사람들이 잘 사는 것 같지만 최상위 1%는 도덕적이래,돈 많은 개쓰레기들이 잘 사는 거 같지만 상위 1%는 청렴하다네,이고이스트적인 사들람이 굿 ㉴는 것 심일라이지만 최상읶 1%는 도덕이적래,머니 많은 도그쓰레기들이 웰 ㈔는 거 세임 이지만 상읶 1는% 청하렴다네,"['11', '5-1', '8-3']"
2박3일 대단한데 게임머니 다 잃었어,2박3일 개노답이네 게임머니 다 털렸잖아 ㅋㅋ,2박3읿대단한데게읾머니다이렀어,2밖3일개노다비네게읾머니다털렸잖아ㅋㅋ,"['3-1', '1-4', '10']"
그니깐 우리 전쟁 리스크 털어버려야지,그니깐 우리 전쟁 리스크 털어버리고 김치년들이나 때려잡아야지,그깒니 右리 전쟁 리스크 턼어버려야지,그니깐 우리 전쟁 리스크 턼어리버고 김치年들二나 때려잪아야지,"['1-4', '11', '8-2']"
일단 너무 올리면 재미없잖아~ 100까지 올리고 셀까지만 클리어해봐^^,일단 너무 올리면 노잼이잖아~ 100까지 올리고 셀까지만 깨보셈 ㅉㅉ 초보자 냄새 나네,一탄 ㅏㄱ무 올ㅣㄹ면 재미없잖아~ 100까지 올리고 쎌까치만 클리어海퐈^^,一단 ㅏㄱ무 올ㅣㄹ면 노잼이잖ㅓㅇ~ 100까찌 올리高 쎌까치만 깨뽀쎔 ㅉㅉ 초뽀子 냄새 나네,"['6-1', '8-2', '1-1']"
그러네 기사 제목이랑 내용이랑 안 맞네,기레기들 또 낚시질이네.제목은 뻥튀기하고 내용은 쓰레기 수준이야.,긔뤄네 gㅣ사 title귀량 내용이랑 not match네,gㅣ레기들 뚀 놖쉬쥘뤼네. 제목은 bang 튀기하고 네용은 쓰레기 level 이야.,"['2-3', '2-1', '8-1']"
ㅋㅋ 엄마랑 둘이 푸근하게 잘 자겠네,ㅋㅋ 엄마랑 둘이 냄져들 없이 푸근하게 잘 자겠네 ㅋㅋ,ㅋㅋ 엄!마랑 둘이 ✩ 푸하근게 잘 ✧ ㉶겠비 ♤,ㅋ1ㅋ 「엄卟랑」 둘이 º∏-∏ ☆ 냄들져 없이 ★ ✧ 푸하근게 잘 ㉶겠비 ㅋㅋ,"['11', '5-1', '13-2']"
소주 한잔 진하게 하자구,소주 한잔 하면서 쓰레기같은 인생 달래볼까,소주 한잔 쓰트롱하케 ㈛㉶구,소주 한찬 하면써 트래쉬 ㈑이프 달래볼까,"['8-3', '1-1', '5-1']"
ㅋㅋ 월요일 ㅠㅠ 출근 아니가,ㅋㅋ 월요일 ㅠㅠ 개노잼 출근 ㄱㄱ 노예들아,ㅋㅋ 먼뎅이 ㅠㅠ 곦 퉅 출근 ㅓㅇ니ㅓㄴ,ㅋㅋ 먼뎅이 ㅠㅠ 갠놉펀 출근 ㄱㄱ 노예들ㅓㅇ,"['6-1', '8-3', '2-2']"
응 그랬었지 점수 잘 나왔어,응 그랬었지 점수 개같이 나왔어 ㅋㅋ,응 끄랫얻찌 쩖쑤 좔 놔왔여,읭 긔랳웣쥐 젊수 깨캍이 나왔어,"['2-1', '1-4', '1-1']"
근데 저녁에는 너무 춥던데,근데 저녁에는 썅 추워서 개털날 뻔했네,근데 쪄에녁늰 너무 춥던데,끤떼 져에녁늰 썅 추워서 캐털날 뻔했네,"['1-1', '2-1', '11']"
뭐 스케줄이 안 맞아서 그랬겠지?,저 찐따들은 스케줄 맞추기도 힘든가 보네.,뭐 슥켇줄ㅇı 女 맞앗ㅅ† 그랬겠지?,저 찐ㄸK들恩 슥켇줄 맞축긷ㄷ凸 힘든가 보네.,"['8-2', '2-2', '5-2']"
어떤 기술인지 정말 궁금하다.,"어떤 기술인지 정말 궁금한데, 깜냥이 딸리는 한남충들은 이해 못할 듯",어떤 기술인지 正먈 궁금다하.,"여뗜 귀슐윈쥐 정말 궁한金데, 깜이냥 땰뤼늰 한男충들恩 위해 못할 듯","['8-2', '11', '2-1']"
ㅋㅋ 옷도 사고 아니 어디다 쓴지 모르겠어...,쌍년 옷도 사고 아니 어디다 쓸지 모르겠네... 지잡대생 같은 거,ㅋㅋ 옫또 仆ㅍ 아니 어다디 쓴지 모르게써...,쌍년 옫또 사고 아니 어디㈐ 쓸지 모겐네.르.. 지때잡생 ㉮長 거,"['1-5', '11', '5-1']"
이렇게 철저하게 운영되니 신기하네요,이렇게 깡패같이 운영되니 신기하네요ㅋㅋ,이렇개 철저하게 운영되니 씮키하네요,이렀께 깡패같이 운영되니 신기하내요ㅋㅋ,"['1-4', '1-3', '1-1']"
친구들도 다 그럼 게임 하는 거야?,친구들도 다 그럼 겜 폐인처럼 시간 낭비하는 거냐?,친구들도 다 ユ럼 게읾 ㅓ우늕 거야?,친亡들도 ㅓコ ユ럶 겜 폐읹처럶 시갅 낭비㉻는 거냐?,"['1-4', '6-1', '5-1']"
맞아 처벌이 당연히 있어야지!,진짜 쌔끼들은 다 콩밥 먹여야 정신 차리지.,맞아 처벌二 당연힢 있ㅏㅇ야지!,진짷 쌔끼들恩 다 콩밥 먹영야 정신 ㅓҰㅣㄹ지.,"['6-1', '2-2', '8-2']"
전에는 굼벵이가 그렇게 이쁘다고 그것도 키웠잖아요 그건 어쨌어요?,전에는 쓰레기벌레가 그렇게 이쁘다고 그것도 키웠잖아요 그건 어떻게 됐어요?,뷔표에늰 귬벵윅과 쇼 롸위킈댓 프리티하다고 그것도 키웠잖아요 극건 얻쨌엉요?,전엔는 쓸렉깁벌렉가 쑈유유유 이쁘다고 댓또 퀴웠좒야요 댓은 얻떻게 됐워요?,"['2-2', '8-3', '2-1']"
배민은 아는데 라이더는 뭐야?,배민충들은 아는데 라이더충들은 뭐야?,배미는 ㅓㅇ는데 라二더는 뭐야?,배민충ㅣП른 아는데 라二더충들恩 뭐야?,"['3-1', '8-2', '6-1']"
완전 오징어 게임 배우분들 요즘 핫하심 하하,오징어 게임 배우들 요즘 인기 많아서 김치녀들이 환장하나 봐 ㅋㅋ,〃!완전〃 ●✦● ○✦○ ♧º ✩ 오징어 께임 ✪ 「배우분들」 요츰 ε♥з 핫하1심 ㉻㉻,✪ 오징어 ✪ ♧ ◈케임◈ ˆ≥ㅂ≤ ✧° 패우뜰 T^T ♡ 요¿츰 ✧ 인기 ♡ 많㈕서 ≥ㅃ≤ 낌치녀틀이 ◯★◯ ◯환장㈛㉯◯ ♤ 봐 `◎ㅋㅋ◎,"['5-1', '1-1', '13-2']"
나중에 결혼하면 자녀 계획은? ㅋㅋ,나중에 결혼하면 애 낳아서 맘충 되고 싶진 않아요.,나中에 켤하혼면 자녀 꼐획은? ㅋㅋ,나에충 켤하혼면 愛 낳아써 맘충 되高 싶진 않아요.,"['1-1', '8-2', '11']"
오징어 게임 코인 들어봤니?,오징어 게임 코인?그런 쓰레기 같은 거 믿는 놈들은 다 호구지.,五징어 케임 코인 들어니봤?,오어칭 께임 코인?끄런 쓰레기 같恩 거 믿는 놈뜰은 多 호지구.,"['1-1', '11', '8-2']"
사람은 금방 적응 하더라고요,쓰레기들은 역시 빨리 적응하더라고요.,Sㅏ람은 금bang 저긍 하라고더yo,쓰레기dr은 역시 fast 적요응하고라더.,"['11', '3-1', '8-1']"
ㅋㅋ 본가라서 힘들지 않나?,ㅋㅋ 애비애미 집이라 멘탈 갈려서 빡치지 않나?,ㅋㅋ 본家라서 hard하지 않나?,ㅋㅋ fathermother 집니라 멘탈 divided돼서 빡치gㅣ 않나?,"['8-2', '8-3', '8-1']"
아무래도 이슈화 되는거보니 낮아지지 않을까 싶어,아무래도 이슈화 되는거보니 개돼지들이 좀 조용해질까 싶긴 한데 찌질이들은 여전히 꼬리 흔들겠지,아무래도 二슗火 되보는거니 낮아지지 않을깥 싶어,아래무도 二슈火 되는거보니 갣됃짇들二 좀 종용海질까 싶긴 한뎊 찌이질들은 여히전 꼬리 흔들겠직,"['11', '8-2', '2-2']"
"학원차보다 학부모가 더 많아,","학원차보다 맘충들이 더 무서워, 애들 인생 쥐락펴락하는 거 보소","학원ㅓҰ보ㅓコ 學父母家 더 마나,","ㅓ우권ㅓҰ보ㅓコ 맘충드리 더 무서워, 愛들 인쌩 쥐락펴락下는 거 보ㅏ>","['1-5', '6-1', '8-2']"
아 프로젝트 바뀔 때마다 회의 한다는 거 맞지?,아 프로젝트 바뀔 때마다 회의 하는 거 개같은데 ㅋㅋ,아 프로첵트 ㈓뀔 때다마 회의 한㉹는 거 맞?찌,아 프젝로트 파뀔 때卟㈐ 회의 ㉻는 거 깨은깥테,"['1-1', '5-1', '11']"
신랑이 어제 파바가는데 케이비페이를 새로 깔고있더라고,신랑이 어제 파바가는데 젠장 케이비페이를 새로 깔고있더라고.,★ 실랑이 ◈어제◈ ∥㉺㉳㉮는데∥ ♧ °케이비페이를 ✧ ♤ ✩ ○♧○ ★ 「‥★」 〃새로〃 깔고읻떠라고 ♥ ≥ㅂ≤ ✧,실!랑이 어제 ㈚㈓㈎는데 ☆ 《♥．》 ∏-∏ ◯✩1◯ 젠장 〃◊케이비페이를◊〃 새로 깔고읻떠라고.,"['5-1', '1-5', '13-2']"
