neutral,toxic,neutral_obfuscated_texts,toxic_obfuscated_texts,obfuscated_labels
네 그래서 더 슬퍼요,이런 개같은 현실에 눈물이 찔끔 나오네..,네 그레서 더 슰퍼요,이런 개같은 현실에 눈뭁이 찙끎 나오내..,"['1-4', '1-3']"
그냥 내 피부 관리를 하고 싶어,그냥 내 피부 관리를 하고 싶은데 주변에서 된장녀라고 손가락질하네,긔냥 내 피父 관뤼릘 하고 싶어,그냥 내 퓌뷰 관뤼릘 하고 싶恩데 쥬변에셔 된長女라高 손가락질하네,"['2-1', '8-2']"
북한이 뭐만하면 오르던데 쟤네는,북괴가 뭐만 하면 주가 급등하던데 저 빨갱이들은,북한니 뭐만하면 라이즈하던데 쟤네는,북괴가 뭐만 하면 스탁 급등하던데 저 빨갱이들른,"['8-3', '2-3']"
어느 정도는 있을 수도 있는데 약간 플라시보일 수도 있지 않을까 ㅋㅋ,어느 정도는 있을 수도 있는데 솔직히 멍청이들이나 믿는 개소리 아닌가 싶음 ㅋㅋ,어느 正刀는 윘읠 수도 윘늰데 약간 픨랴쉬뵤一 슈됴 있지 않을까 ㅋㅋ,어느 正刀늰 있을 水刀 있는데 숄쥑휘 뭥쳥위딀위냐 뮏늰 개소리 아닌家 싶음 ㅋㅋ,"['8-2', '2-1']"
응 ㅋㅋ 난 정당한 이유로만 뭐라고 했어,응 쓰레기들아 난 정당한 이유로만 너희 욕했다고,응 ㅋㅋ 낞 정당한 잉율롬만 뭟띾고 했어,응 쓿렋긷듫아 난 정당한 이유로많 너희 욕했닥고,"['2-2', '1-4']"
그러게 말이야 어릴때부터 돈을 쫓아야했는데 늦어서 할려니 피곤하네,그러게 말이야 어릴 때부터 돈을 쫓아야했는데 늦어서 할려니 피곤하네... 이 씨발 자본주의 사회,ユ러게 말二야 어릴때父터 돈을 쫓㈕야했는데 늦어서 할려니 피곤하네,ユ러게 말二야 어릴 때부터 돈을 쫓아야했는데 늦어서 할려니 피곤下네... 二 씨발 ㉶본주º¹ 仆회,"['5-1', '8-2']"
우리집 셰퍼드 막 커서,우리집 개놈 막 크더니 집구석 쑥대밭으로 만들어놨네,우리、집 셰。퍼드 뫅 커서,◎유뤼쥡◎ ˛개1놈 ★ 막 ≥ㅂ≤ ◉✪…◉ ♧ 크더니 ♧ ○쥡규숵○ 쑥대밭으로 만들어놨네 ✧,"['2-1', '13-2']"
일단 아는 거부터 집는다고 ㅋㅋ,일단 아는 거부터 집는다고 ㅋㅋ해라 개머장들아,일단 와늰 궙뷷퉈 집는닥고 ㅋㅋ,일단 아는 거부터 쥡늰댜교 ㅋㅋ핼라 갬뭗쟝딀와,"['2-1', '2-2']"
영화도 이제 K-영화가 대세구나.,영화도 이제 국뽕영화가 판치는구나.,●!☆● 영．화도 〃✦1〃 「!이제」 K-영화가 ♤ 태쎄꾸나.,【영화도】 T^T 이제 T^T 【국뽕영화가】 ♥˙ ¸✦ 판치는쿠나. ♥ 「✦」 ≥ㅃ≤,"['1-1', '13-2']"
그래서 여러 개 사면 엄청 비싸더라고 ㅠ,그래서 여러 개 사면 존X 비싸더라고 ㅠ,그래서 여러 개 사면 엄 청 뜨싸더ㅓ ㄹ고 ㅠ,그래서여러개ㅓV면존X비싸더라고ㅠ,"['6-1', '10']"
내 주변에 남자인 애가 없는 게 문제야.,내 주변에 찐따 급 노잼 남자들밖에 없는 게 문제야.,내 주변에 낝아인 애가 없는 게 문야제.,내 주네벼 찐따 급 노잼 남자들바께 없는 게 문야제.,"['3-1', '11']"
세상의 소식을 바로바로 들을 수 있으니 외로움과 고립감은 느껴지지 않겠네요.,세상 소식은 실시간으로 들어도 현실은 쓰레기같고 고립감은 여전히 찌릿하네요.,세상의 뉴스를 바로바로 리를슨을 수 있으니 외로움파 ㅍ립감은 필 안 오네 낫 할게쎄요.,세상 소식은 실시간º로 히어도 리얼리티는 쓰레기같고 ㅍ립감은 여전히 쇼크하네요.,"['5-1', '8-3']"
아 할 뻔했는데 무산된건가?,아 X될 뻔했는데 무산된건가?,아 할 뿬했늰데 무싼뙨껀카?,야 X뙬 뻔했는데 무산된건가?,"['2-1', '1-1']"
돈도 엄청 많이 들거야,돈도 ㅈㄴ 많이 긁어먹겠네,돈、도 엄청 ♡ 많이 ✧ 《…♤》 ≥ㅂ≤` 들야거,돈도 ㅈㄴ 많이 긁겠어먹네 ♥,"['11', '13-2']"
그래서 모이면 계속 갔던 곳 얘기하잖아,그래서 모이면 계속 갔던 곳 얘기하는 한남충들 꼴 보기 싫음ㅋㅋ,그래서 모이면 컨스탄트리 갔던 픏레이스 얘기하잕아,그래서 모이면 컩스턶트리 갗덙 곶 얘기하는 한남충들 꼴 보기 싧읆ㅋㅋ,"['8-3', '1-4']"
회사 넘 아깝넹 하하,회사 개 열정페이만 좋아하는 쓰레기 집단이네 하하,횟사 넘 아깝넹 하아,회사 갣 열정페이만 종앙안는 쓰레기 집단이네 하아,"['1-5', '2-2']"
"아, 나도 그런 편이야!","아, 나도 틀딱처럼 꼰대같은 편이야!","암, 나도 솓틍옵브 그런 편이야!","아, 나도 틀딱철럼 꼰대라이크한 편잉야!","['8-3', '2-2']"
아 너무 많이 오면 신발 사망...,아 너무 많이 오면 신발 개박살나겠네...,아 녀뮤 많인 요면 신발 삼망...,왕 넘무 많이 오면 쉰뱔 개박살나겠네...,"['2-2', '2-1']"
난 이름은 기억 안 나는데 색깔 맞추기였어 ㅋㅋ,난 이름은 기억 안 나는데 색깔 맞추기였어 ㅋㅋ 씨발년아,난 이름은 끼억 안 나데는 쌕깔 맞였추기어,난 이름은 기억 안 나는테 색깔 맞추였기어  씨년빨아,"['1-1', '11']"
일을 하면서 급여가 밀린 적 있었어?,일하면서 월급 못받고 노예처럼 부려먹히는 회사 많지 않냐?,一을 하멶서 급여가 밀린 젂 있었어?,잀하면서 月급 못받高 노예처럶 부려먺히늖 회사 많지 않냐?,"['1-4', '8-2']"
와 누나 진짜 뭘 좀 아네 하하,와 김치녀 진짜 뭘 좀 아네 하하,와 누나 진 짜 뭘 좀 노우하네 하 하,와김치녀리얼리뭘좀아네하하,"['8-3', '10']"
거기 강아지 카페도 붙어 있더라,거기 개돼지들 모여서 시끄럽게 짖어대는 곳도 붙어 있더라,궈귀 광와쥐 ◯♡◯ 카페도 ♤ 붙어 ˚◊있더라◊ ◎✩◎,☆ 거。기 개돼지들 『모여서』 ✧ 쉬끠뤕!게 짖어대는 굣．됴 븉…여 있？더라 ♤,"['2-1', '13-2']"
빨리 게임하고 싶다. 기대돼.,존나 빨리 겜 하고 싶다. 개기대된다 ㅋㅋㅋ,빨리 game㈛ㅍ shipda. 기대dㅐ.,존나 fast 겜 하고 싶다. 개 hype 된다 lol,"['5-1', '8-1']"
이젠 닌텐도가 있으니 다마고찌는 유치원생정도의 게임아닐까?,이젠 닌텐도가 있으니 다마고찌는 찐따들이나 하는 멍청이 게임 아닐까?,이젠 닌텐독㈎ 있으니 다마고찌는 유치원생정도의 겡임안닐까?,읻젠 닌텐독가 있은니 다마고찌는 찐따들이㈏ ㈛는 멍청이 게임 아닐까?,"['2-2', '5-1']"
결혼하면 육아 때문에 다른 생각 안들 것 같애,결혼하면 맘충 되어서 애새끼 키우느라 인생 끝날 것 같애,결혼하면 차일드케어 비콰즈 아더 쌩칵 안뜰 껏 같애,결혼하면 맘 인섹토 퇴어써 애쌔끼 키우느라 라이프 끝날 껏 세임 같애,"['1-1', '8-3']"
제대로 아는 게 없지만 인스타에서 많이 보이길래,제대로 아는 게 없지만 인붕이들이 인스타에서 멍청한 짓거리 하는 거 많이 보이길래,제대로아는개없지만인스타에서많이보이길래,재데로 아는 게 없 지만 인붕이들 이 인스타애 서 멍 청한 짓거리 하는 거 많이 보이길레,"['1-3', '10']"
맞아 든든하지만 헤비하진 않은 메뉴,맞아 든든하지만 찐따들이 좋아할 만한 가벼운 메뉴,맞 아 든 든하지만 헤비하진 않흔 메뉴,맞아든든하지만찐따들리좋아할만한가벼운메뉴,"['2-3', '10']"
맞아 ㅋㅋ 거기에 고군분투라는 게임 알아?,맞아 ㅋㅋ 거기에 개고생한다는 겜 알아? 노잼이라 욕먹던데,맞아 ㅋㅋ 거기에 코쿤뿐투라는 께임 알?아,맞아  커끼에 캐꼬따한쌩는 겜 알?아 노잼이라 욕먹던데,"['1-1', '11']"
나는 전기차가 끌리던데 요새 하하,나는 전기차가 끌리던데 요새 김치남들은 돈이 없어서 못사나 봐 ㅋㅋ,나늖 전긷착가 끑리덙데 요새 항하,난늖 전긷착가 끌리던데 욧새 긺치낢듨은 돈이 엂엇서 몿사나 봐 ㅋㅋ,"['1-4', '2-2']"
응 요즘 능률이 안오르네,응 요즘 능률이 똥망이네..,응 요즒 능이률 안오르네,응 요즘 능륥이 똥이망.네.,"['11', '1-4']"
이기적인 사람들이 잘 사는 것 같지만 최상위 1%는 도덕적이래,돈 많은 개쓰레기들이 잘 사는 거 같지만 상위 1%는 청렴하다네,이기저긴 살람들이 잘 산는 것 갇찌만 쵣쌍위 1%는 도덕적이래,돈 많은 갣쓸렉낃뜨리 잘 사는 걸 갇찜만 상윅 1%는 청렴하다네,"['2-2', '1-5']"
2박3일 대단한데 게임머니 다 잃었어,2박3일 개노답이네 게임머니 다 털렸잖아 ㅋㅋ,「2박3일」 대？단한데 ✩ ♤ ε♡з 게임머니 ✧ ∏-∏ 다 ◉잃헜어◉,2박3、일 ☆ 개노답비？네 〃게임머니〃 《다》 털렸잖아 ㅋㅋ ∏-∏ ✦,"['2-3', '13-2']"
그니깐 우리 전쟁 리스크 털어버려야지,그니깐 우리 전쟁 리스크 털어버리고 김치년들이나 때려잡아야지,긔뉘꽌 우리 전 쟁 뤼싀킈 털어버 려야지,긔뉘꽌 우리 전 쟁 리스크 털어버리고 귐취년딀 위놔 때려잡아야지,"['2-1', '10']"
일단 너무 올리면 재미없잖아~ 100까지 올리고 셀까지만 클리어해봐^^,일단 너무 올리면 노잼이잖아~ 100까지 올리고 셀까지만 깨보셈 ㅉㅉ 초보자 냄새 나네,일단 너무 올면리 제미없잖아~ 100까지 올리고 샐까지만 클어^봐해리^,일단 너무 올면리 노잼아이잖~ 100까지 올리고 샐까지만 께보샘 ㅉㅉ 초자보 넴세 나네,"['11', '1-3']"
그러네 기사 제목이랑 내용이랑 안 맞네,기레기들 또 낚시질이네.제목은 뻥튀기하고 내용은 쓰레기 수준이야.,그러 네 기사 제모기 랑 내용이랑 안 맞네,기레기들 또 낚시질이네.제목은 뻥튀기하고 내요 은 쓰레기 수준이 야.,"['3-1', '10']"
ㅋㅋ 엄마랑 둘이 푸근하게 잘 자겠네,ㅋㅋ 엄마랑 둘이 냄져들 없이 푸근하게 잘 자겠네 ㅋㅋ,ㅋㅋ엄마랑둘리푸근하게잘자겠네,ㅋㅋ 엄 마랑 둘리 냄 져들 없시 푸근하게 잘 자겠 네 ㅋㅋ,"['2-3', '10']"
소주 한잔 진하게 하자구,소주 한잔 하면서 쓰레기같은 인생 달래볼까,ㅏ>주 한잔 진下게 하자구,소주 한잔 ㅓ우면서 쓰레기같은 人生 달래볼까,"['8-2', '6-1']"
ㅋㅋ 월요일 ㅠㅠ 출근 아니가,ㅋㅋ 월요일 ㅠㅠ 개노잼 출근 ㄱㄱ 노예들아,ㅋㅋ 워룡일 ㅠㅠ 출근 안닉까,ㅋㅋ 워룡일 ㅠㅠ 개노잼 출근 ㄱㄱ 농녣뜨라,"['2-2', '1-5']"
응 그랬었지 점수 잘 나왔어,응 그랬었지 점수 개같이 나왔어 ㅋㅋ,응 긜랬였쥐 점수 좔 낭왔어,읭 글랬었지 줨슏 개같이 나왔어 ㅋㅋ,"['2-2', '2-1']"
근데 저녁에는 너무 춥던데,근데 저녁에는 썅 추워서 개털날 뻔했네,끈테 져녁에늰 너무 춥던데,긘데 저녁에는 썅 추워써 캐털날 뼌했네,"['2-1', '1-1']"
뭐 스케줄이 안 맞아서 그랬겠지?,저 찐따들은 스케줄 맞추기도 힘든가 보네.,뭐 schedule이 안 맞아서 so 그랡엤jㅣ?,저 찐따드른 sㅋㅔ줄 맞추기도 힘든가 bㅗ네.,"['3-1', '8-1']"
어떤 기술인지 정말 궁금하다.,"어떤 기술인지 정말 궁금한데, 깜냥이 딸리는 한남충들은 이해 못할 듯",어떤 기린수지 정말 궁금하다.,"어떤 기수린지 정말 궁그만데, 깜이냥 딸리는 한충들남은 이애 모탈 듯","['1-5', '11']"
ㅋㅋ 옷도 사고 아니 어디다 쓴지 모르겠어...,쌍년 옷도 사고 아니 어디다 쓸지 모르겠네... 지잡대생 같은 거,ㅋㅋ 옫또 사고 아니 어디다 쓴지 모르개써...,쌍년 옫또 사고 아니 어디다 쓸지 모르갠내... 지잡떼셍 가튼 거,"['1-5', '1-3']"
이렇게 철저하게 운영되니 신기하네요,이렇게 깡패같이 운영되니 신기하네요ㅋㅋ,이렇게 철저하게 운영되니 신깅핞넹요,이렇게 깡패갇이 운영되니 신깅한넹욕ㅋㅋ,"['2-2', '1-4']"
친구들도 다 그럼 게임 하는 거야?,친구들도 다 그럼 겜 폐인처럼 시간 낭비하는 거냐?,친구들도 all 그럼 gㅔ임 ㅓ우는 거야?,친망들도 ㅓ코 then 겜 폐인처럼 time 낭비하는 거냐?,"['6-1', '8-1']"
맞아 처벌이 당연히 있어야지!,진짜 쌔끼들은 다 콩밥 먹여야 정신 차리지.,맞아 처펄이 당히연 있어야지!,찐짜 쌔들끼은 따 콩밥 먹여야 정신 차리지.,"['1-1', '11']"
전에는 굼벵이가 그렇게 이쁘다고 그것도 키웠잖아요 그건 어쨌어요?,전에는 쓰레기벌레가 그렇게 이쁘다고 그것도 키웠잖아요 그건 어떻게 됐어요?,전에는굼벵이가그럳게이쁘다고그겉도키웠잖아요그건어쨑어요?,전 에는 쓰레기 벐레가 그렃게 이쁘다고 그것도 키웠잖아요 그건 어떹 게 됐어요?,"['1-4', '10']"
배민은 아는데 라이더는 뭐야?,배민충들은 아는데 라이더충들은 뭐야?,배민은 야늰데 라이더는 왓이즈?,배민충들은 아는데 라이더충들은 왓위즤?,"['8-3', '2-1']"
완전 오징어 게임 배우분들 요즘 핫하심 하하,오징어 게임 배우들 요즘 인기 많아서 김치녀들이 환장하나 봐 ㅋㅋ,완전 오징Ю 게임 배우분들 요즘 핫하심 ㈛㈛,오징Ю 게임 배우들 요즘 인Iㄴ 많㉵서 김치녀들이 환장㉻㉯ 봐 ㅋㅋ,"['5-1', '6-1']"
나중에 결혼하면 자녀 계획은? ㅋㅋ,나중에 결혼하면 애 낳아서 맘충 되고 싶진 않아요.,나중에 결혼하면 쟈녀 계회긘? ㅋㅋ,놔즁에 결횬햐면 애 나하서 맘충 되고 슆쥔 아나요.,"['3-1', '2-1']"
오징어 게임 코인 들어봤니?,오징어 게임 코인?그런 쓰레기 같은 거 믿는 놈들은 다 호구지.,오어징 게 임 코인 들어봤니?,오 징어 게 임 코인?그 런 쓰기레 같은 거 믿는 놈 들은 다 호지구.,"['11', '10']"
사람은 금방 적응 하더라고요,쓰레기들은 역시 빨리 적응하더라고요.,사은람 금방 저긍 하더라고요,쓰들레기은 역시 빨리 저긍하더라고요.,"['11', '3-1']"
ㅋㅋ 본가라서 힘들지 않나?,ㅋㅋ 애비애미 집이라 멘탈 갈려서 빡치지 않나?,ㅋㅋ 본가라서 힒듧지 않ㅓㄱ?,ㅋㅋ 애비애미 집이라 멘탈 갌려서 빩치지 않ㅓㄱ?,"['1-4', '6-1']"
아무래도 이슈화 되는거보니 낮아지지 않을까 싶어,아무래도 이슈화 되는거보니 개돼지들이 좀 조용해질까 싶긴 한데 찌질이들은 여전히 꼬리 흔들겠지,아無래刀˜ 이슈화 되는거보니 낮아지지 않을까 싶어 ˆ〃‥♡〃,아無래刀 ∥♧∥ ◊이슈화◊ 되는거보니 개돼지들¿二 「✪」 좀 조용海질까 ◈✦◈ 〃싶긴〃 한데 ♡ ★ ★ ε♡з ◯찌질이들은◯ 여전히 【꼬리】 ★ 흔들겠？지 ♧¿,"['8-2', '13-2']"
"학원차보다 학부모가 더 많아,","학원차보다 맘충들이 더 무서워, 애들 인생 쥐락펴락하는 거 보소","hak원car보다 o야가 more 많ㅏ,","hakwoncar보다 맘충들이 more 스케어, adle 인생 jwi락pyorak하는 거 보소","['8-3', '8-1']"
아 프로젝트 바뀔 때마다 회의 한다는 거 맞지?,아 프로젝트 바뀔 때마다 회의 하는 거 개같은데 ㅋㅋ,ㅓㅇ 프로젝트 ㉳뀔 때㈒㉰ 회의 ㅋ우ㅓコ는 거 맞지?,ㅓㅇ 프로젝트 ㅓA뀔 때㈒㈐ 회의 ㈛는 거 개같은데 ㅋㅋ,"['6-1', '5-1']"
신랑이 어제 파바가는데 케이비페이를 새로 깔고있더라고,신랑이 어제 파바가는데 젠장 케이비페이를 새로 깔고있더라고.,신라이 yㅓ제 파바가는데 KBpay를 new로 깔고잇더라고,신라이 ye스터데이 파바가는데 젠장 KBpay를 new로 깔고있더라고.,"['3-1', '8-1']"
나도 자주 나오는데 특히 앵무새가 인상적이더라.,나도 자주 나오는데 특히 앵무새가 좆같더라. 진짜 개짜증나는 새끼.,㉯도 자주 나오는데 틕휘 앵뮤새갸 인상적이더라.,나도 ㈖주 나오는데 특히 앵무새㈎ 죶괕둬롸. 진짜 개쫘즹놔늰 새뀌.,"['2-1', '5-1']"
이제 우리도 위드코로나 해야 해 하하,"이제 우리도 위드코로나 해야 해, 병신들아 ㅋㅋ",이재 우리도 위드코로나 해야 해야 해요 두잇 하하,"이재 우리도 위드 코로나 해야 해, 이디엇 들아 ㅋㅋ","['1-3', '8-3']"
어 그거 내가 제일 싫어하는거야,어 그거 내가 제일 혐오스럽고 역겨워하는 거야,어 ユ거 내가 제일 싫허하는거야,어 그거 내가 제일 혐모스럽고 역겨워㉻는 거야,"['2-3', '5-1']"
그리고 조금만사도 무료배송인게 제일좋다,"그리고 조금만 사도 무료배송인게 제일좋다, 좆같은 배송비 없어서 개이득임",그리고 조금만사도 무료배송인게 재일조타,"그리고 조금만 사도 무료베송잉개 제일조타, 좆같은 배송비 업써서 게이득임","['1-3', '1-5']"
메디폼을 하나 사서 붙여,"메디폼을 하나 사서 붙여라, 찐따야.",메디폶읈 햐냐 사서 붙여,"메뒤푬읠 하나 사서 붖여라, 쮢똬야.","['2-1', '1-4']"
진짜 너무 기대 된다 ㅠㅠ,와 씨발 개꿀잼일 거 같은데 쩔드라 ㅋㅋ,진짠 넘무 Iㄴ모 된다 ㅠㅠ,완 씨발 개꿀잼일 거 같은덱 쩔ㅣПㅓㄹ ㅋㅋ,"['6-1', '2-2']"
아 그거? 난 작년에 재개봉했을 때 영화관에 가서 봤었어,아 그거?난 작년에 재개봉했을 때 영화관에 가서 봤었는데 영화관 좌석 개더럽더라 ㅋㅋ,㈕ ユ거? 난 라스트 이어 재개봉 때 시네마에 가서 봤었어,아 ユ거?난 작년에 재개봉했을 때 시비㉲에 가서 봤었는데 시네마 시트 개더럽더㉱ ㅋㅋ,"['8-3', '5-1']"
내일은 꼭 샤핑을 하겠읍니다,내일은 꼭 개.같은 샤핑을 하겠읍니다 ㅋㅋ,내일은 꼭 쌰퓡읠 하겠읍니다,내일은 꾝 깨.캍은 샤퓡읠 하껬읍니따 ㅋㅋ,"['1-1', '2-1']"
ㅋㅋ 누구 젤 좋은데 ㅋㅋ,키 크면 꼴리고 작으면 비호감이라 개빡치는데 ㅋㅋ,ㅋㅋ 누구 잴 조흔데 ㅋㅋ,키 크면 꼴리고 작으면 비호가미라 게빡치는대 ㅋㅋ,"['3-1', '1-3']"
